Date,Value
198001,4.19
198002,2.89
198003,3.08
198004,3.35
198005,4.89
198006,8.05
198007,9.3
198008,13.32
198009,13.48
198010,12.38
198011,6.88
198012,3.69
198101,2.17
198102,3.21
198103,2.91
198104,6.13
198105,6.63
198106,10.97
198107,11.08
198108,13.27
198109,10.92
198110,10.63
198111,7.42
198112,5.71
198201,4.26
198202,3.43
198203,4.38
198204,4.76
198205,8.85
198206,9.62
198207,12.36
198208,11.21
198209,11.83
198210,10.29
198211,9.94
198212,9.1
198301,6.56
198302,4.47
198303,4.23
198304,5.61
198305,8.73
198306,10.23
198307,11.12
198308,10.7
198309,10.87
198310,10.72
198311,10.59
198312,7.99
198401,5.57
198402,3.15
198403,3.23
198404,6.08
198405,8.16
198406,12.17
198407,11.62
198408,10.97
198409,8.55
198410,10.27
198411,9.47
198412,8.47
198501,4.74
198502,4.31
198503,4.72
198504,6.49
198505,8.71
198506,9.33
198507,9.74
198508,10.81
198509,12.72
198510,12.44
198511,10.99
198512,7.33
198601,5.19
198602,3.3
198603,3.55
198604,6.55
198605,8.49
198606,11.33
198607,12.53
198608,12.96
198609,15.66
198610,13.25
198611,10.91
198612,4.38
198701,2.57
198702,1.63
198703,2.64
198704,3.36
198705,6.42
198706,7.03
198707,10.57
198708,12.05
198709,12.58
198710,9.18
198711,6.56
198712,5.56
198801,5.2
198802,3.5
198803,3.12
198804,3.69
198805,4.79
198806,4.91
198807,5.69
198808,8.7
198809,11.05
198810,10.3
198811,8.84
198812,6.09
198901,5.37
198902,2.75
198903,3.22
198904,3.91
198905,6.64
198906,8.42
198907,9.3
198908,9.81
198909,9.31
198910,8.42
198911,5.93
198912,3.62
199001,2.9
199002,2.54
199003,4.76
199004,6.2
199005,9.19
199006,12.57
199007,14.02
199008,13.89
199009,10.29
199010,9.26
199011,7.01
199012,5.91
199101,3.81
199102,2.89
199103,4.21
199104,7.67
199105,11.59
199106,12.56
199107,12.41
199108,10.52
199109,10.65
199110,9.71
199111,10.79
199112,8.15
199201,5.98
199202,3.23
199203,3.75
199204,5.59
199205,6.41
199206,7.29
199207,9.82
199208,11.27
199209,13.11
199210,9.44
199211,9.56
199212,6.72
199301,6.51
199302,3.76
199303,3.51
199304,5.5
199305,9.26
199306,14.21
199307,16.89
199308,17.71
199309,14.55
199310,9.99
199311,6.41
199312,3.99
199401,3.73
199402,3.06
199403,3.02
199404,4.82
199405,5.78
199406,9.8
199407,11.16
199408,13.19
199409,12.05
199410,9.81
199411,8.09
199412,5.19
199501,4.02
199502,2.3
199503,3.68
199504,5.75
199505,8.94
199506,9.41
199507,10.48
199508,11.6
199509,11.65
199510,11.14
199511,8.27
199512,6.66
199601,5
199602,3.84
199603,4.08
199604,4.09
199605,7.11
199606,10.74
199607,12.29
199608,11.22
199609,9.29
199610,8.97
199611,8.79
199612,7.53
199701,6.14
199702,4.84
199703,4.77
199704,4.44
199705,6.28
199706,8.47
199707,11.02
199708,11.29
199709,10.36
199710,8.75
199711,6.46
199712,4.28
199801,3.38
199802,3.66
199803,5.97
199804,6.81
199805,8.88
199806,11.43
199807,11.57
199808,11.91
199809,8.41
199810,9.58
199811,7.61
199812,6.37
199901,4.53
199902,3.66
199903,3.75
199904,5.84
199905,9.4
199906,12.88
199907,14.7
199908,13.54
199909,11.75
199910,7.19
199911,4.73
199912,3.04
200001,2.8
200002,3.17
200003,3.54
200004,4.55
200005,7.3
200006,11.51
200007,13.4
200008,12.61
200009,9.82
200010,7.54
200011,7.15
200012,6.03
